Pyrenean Shepherd,Black;Brown;Grey,Medium,15-21 inches,15-30 pounds,Late teens,Enthusiastic & Affectionate,Energetic,Long,Herding
Rat Terrier,Black;White;Brown,Small,10-18 inches,10-25 pounds,12-18 years,Friendly & Inquisitive,Regular Exercise,Short,Terrier
Redbone Coonhound,Brown;Tan,Large,21-27 inches,45-70 pounds,12-15 years,Even-Tempered & Amiable,Regular Exercise,Short,Hound
Rhodesian Ridgeback,Brown;Tan,Large,24-27 inches,70-85 pounds,10 years,Dignified & Even-Tempered,Regular Exercise,Short,Hound
Rottweiler,Black;Tan;Brown,Large,22-27 inches,80-135 pounds,9-10 years,Loyal & Confident Guardian,Regular Exercise,Short,Working
Russell Terrier,Tan;Brown;White,Small,10-12 inches,9-15 pounds,12-14 years,Lively & Inquisitive,Very Active,Short,Terrier
Saint Bernard,Tan;Black;Brown;White,Extra Large,26-30 inches,120-180 pounds,8-10 years,Inquisitive & Charming,Regular Exercise,Medium,Working
Saluki,Tan,Large,20-28 inches,40-65 pounds,10-17 years,Gentle & Dignified,Energetic,Short,Hound
Samoyed,White,Medium,19-24 inches,35-65 pounds,12-14 years,Gentle & Adaptable,Energetic,Long,Working
Schipperke,Black,Small,10-13 inches,10-16 pounds,12-14 years,Alert & Curious,Energetic,Medium,Non-Sporting
Scottish Deerhound,Grey;White;Brown,Extra Large,28-32 inches,75-110 pounds,8-11 years,Dignified & Polite,Regular Exercise,Medium,Hound
Scottish Terrier,Black;Grey,Small,10inches,18-22 pounds,12 years,Independent & Spirited,Regular Exercise,Medium,Terrier
Sealyham Terrier,White,Small,10.5 inches,22-24 pounds,12-14 years,Outgoing & Sense of Humor,Regular Exercise,Medium,Terrier
Shetland Sheepdog,Tan;Brown;White;Black,Small,13-16 inches,15-25 pounds,12-14 years,Bright & Playful,Regular Exercise,Long,Herding
Shiba Inu,Tan;White;Brown;Black,Small,13-17 inches,17-23 pounds,13-16 years,Alert & Attentive,Regular Exercise,Medium,Non-Sporting
Shih Tzu,Tan;Brown;White,Small,9-11 inches,9-16 pounds,10-18 years,Affectionate & Playful,Regular Exercise,Long,Toy
Siberian Husky,Grey;White;Black,Medium,20-24 inches,35-60 pounds,12-14 years,Loyal & Mischievous,Energetic,Medium,Working
Silky Terrier,Brown;Tan,Extra Small,9-10 inches,around 10 pounds,13-15 years,Keenly Alert & Quick,Regular Exercise,Long,Toy
Skye Terrier,Black;Brown,Medium,9-10 inches,30-45 pounds,12-14 years,Courageous & Canny,Regular Exercise,Long,Terrier
Sloughi,Tan;White,Large,24-29 inches,45-70 pounds,12-14 years,Reserved & Noble,Regular Exercise,Smooth,Hound
Smooth Fox Terrier,Brown;White;Tan,Small,15.5 inches,15-18 pounds,12-15 years,Friendly & Amusing,Energetic,Short,Terrier
Soft Coated Wheaten Terrier,White,Medium,17-19 inches,30-40 pounds,12-14 years,Friendly & Deeply Devoted,Energetic,Long,Terrier
Spanish Water Dog,Brown;Black,Medium,15-20 inches,31-49 pounds,12-14 years,Work-Oriented & Upbeat,Energetic,Medium,Herding
Spinone Italiano,Tan,Medium,22-27 inches, ,10-12 years,Sociable & Docile,Energetic,Medium,Sporting
Staffordshire Bull Terrier,Black;Brown,Medium,14-16 inches,24-38 pounds,12-14 years,Tenacious & Clever,Energetic,Short,Terrier
Standard Schnauzer,Grey;White;Brown;Black,Medium,17-20 inches,30-50 pounds,13-16 years,Fearless & Spirited,Regular Exercise,Medium,Working
Sussex Spaniel,Brown,Medium,13-15 inches,35-45 pounds,13-15 years,Merry & Friendly,Regular Exercise,Medium,Sporting
Swedish Vallhund,Grey;Brown;White;Black,Small,11-14 inches,20-35 pounds,12-15 years,Watchful & Energetic,Very Active,Medium,Herding
Tibetan Mastiff,Black;Brown;Tan,Extra Large,minimum 24 inches,70-150 pounds,10-12 years,Intelligent & Reserved,Regular Exercise,Medium,Working
Tibetan Spaniel,Brown;Tan;White,Small,10 inches,9-15 pounds,12-15 years,Self-Confident & Bright,Calm,Medium,Non-Sporting
Tibetan Terrier,Black;White,Small,14-17 inches,15-30 pounds,15-16 years,Loyal & Sensitive,Energetic,Long,Non-Sporting
Toy Fox Terrier,White;Tan;Black;Brown,Extra Small,8-12 inches,3-7 pounds,13-15 years,Intelligent & Alert,Energetic,Smooth,Toy
Treeing Walker Coonhound,Tan;Brown;Black;White,Large,20-27 inches,50-70 pounds,12-13 years,Brave & Courteous,Regular Exercise,Short,Hound
Vizsla,Tan;Brown,Medium,21-24 inches,44-60 pounds,12-14 years,Gentle & Affectionate,Energetic,Smooth,Sporting
Weimaraner,Brown,Large,23-27 inches,55-90 pounds,10-13 years,Fearless & Obedient,Very Active,Smooth,Sporting
Welsh Springer Spaniel,Brown;Tan;White,Medium,17-19 inches,35-55 pounds,12-15 years,Happy & Upbeat,Energetic,Medium,Sporting
Welsh Terrier,Brown;Black,Small,15 inches,20 pounds,12-15 years,Friendly & Spirited,Energetic,Medium,Terrier
West Highland White Terrier,White,Small,10-11 inches,15-20 pounds,13-15 years,Happy & Entertaining,Regular Exercise,Medium,Terrier
Whippet,Grey;White;Brown,Medium,18-22 inches,25-40 pounds,12-15 years,Calm & Playful,Regular Exercise,Smooth,Hound
Wire Fox Terrier,White;Brown;Tan;Black,Small,15.5 inches,15-18 pounds,12-15 years,Gregarious & Alert,Regular Exercise,Wire,Terrier
Wirehaired Pointing Griffon,Brown,Medium,20-24 inches,35-70 pounds,12-15 years,Devoted & Trainable,Very Active,Wire,Sporting
Wirehaired Vizsla,Tan,Medium,21-25 inches,45-65 pounds,12-14 years,Loyal & Trainable,Energetic,Wire,Sporting
Xoloitzcuintli,Brown,Medium,10-23 inches,10-55 pounds,13-18 years,Loyal & Calm,Energetic,Hairless,Non-Sporting
Yorkshire Terrier,Brown,Extra Small,7-8 inches,7 pounds,11-15 years,Sprightly & Tomboyish,Regular Exercise,Long,Toy
